feature,shap_importance
lidar_normalized_entropy,0.742224367687865
lidar_roughness,0.742036546604683
lidar_pca_var_exp_pc2,0.4584013391062903
particle_uncertainty_mean_expert,0.408704134652647
tf_speed_mean_expert,0.23679455716369832
lidar_p95,0.2201992892539719
tf_amcl_y_mag_mean,0.15150301071455605
sector_0_close_frac,0.13966799648292075
sector_2_close_frac,0.12519197814210253
tf_speed_std_expert,0.1141753083205591
lidar_pca_var_ratio,0.0910458443837348
sensor_delta_mean,0.08303572655046118
sector_3_std_mean,0.07156451218634795
cmd_ang_tf_dyaw_corr,0.06987851170889325
sector_3_mean,0.06782682435952136
tf_ax_cmd_accel_corr,0.06668918543482688
tf_amcl_dist_diff_abs_mean,0.05946928613524758
frac_close_mean,0.05803933485821194
sector_1_mean,0.05736127386077143
particle_uncertainty_slope_expert,0.05624607079525853
tf_x_std,0.05569653243122958
tf_amcl_x_drift_rate,0.05318374471067201
tf_amcl_y_diff_std_expert,0.05191763164952995
composite_health,0.04745722805630265
tf_amcl_x_mag_mean,0.04472715345027925
lidar_centroid_x_last,0.042132851159654434
amcl_y_mean_expert,0.04176241504099006
tf_dyaw_abs_max,0.03707716177319057
lidar_pca_pc1_std,0.03528628255743205
lidar_mean_slope_expert,0.03526616401320124
lidar_pca_pc1_kurtosis,0.03440873197113611
front_back_diff,0.033494764791870434
cmd_lin_ang_corr,0.0329262194658434
pos_drift_per_dist,0.03179444123528559
tf_amcl_yaw_diff_slope,0.02923798539908145
sector_0_mean_slope,0.028580211412384822
particle_uncertainty_cv,0.027498647794578605
tf_dyaw_abs_cmd_ang_corr,0.02705282106455934
tf_y_skew,0.023129004249947807
tf_amcl_pos_diff_slope_expert,0.02272575884284144
tf_x_skew,0.022423385810756227
lidar_normalized_mean,0.021120096133845235
lidar_centroid_x_half_diff,0.019029664652109743
drift_ramp_phase,0.0183754662972344
cmd_accel_mean,0.015542452602453934
sector_2_mean_slope,0.014425532429103143
tf_cmd_yaw_ratio,0.002399238247530755
frac_far_slope,0.0019743913676728603
particle_count_std_expert,0.001643152911061805
